Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2020-658582,2020-04-28,2020-04-29,Second Class,CUST-3103,Home Office,United States,San Diego,Pennsylvania,West,TEC-AC-5342,Technology,Accessories,Accessories Product 68,2222.53,2,0.5,784.14
CA-2023-518373,2023-05-27,2023-05-30,First Class,CUST-8177,Home Office,United States,San Diego,New York,West,FUR-FU-4681,Furniture,Furnishings,Furnishings Product 9,12247.82,13,0.15,-2118.72
CA-2021-161733,2021-11-23,2021-11-23,Second Class,CUST-2104,Consumer,United States,Houston,New York,West,TEC-CO-5562,Technology,Copiers,Copiers Product 86,4431.78,10,0.4,-824.33
CA-2022-354801,2022-09-21,2022-09-22,Same Day,CUST-7669,Consumer,United States,Los Angeles,New York,South,TEC-CO-6804,Technology,Copiers,Copiers Product 55,27004.7,12,0.2,5685.07
CA-2022-522179,2022-04-21,2022-04-24,First Class,CUST-2790,Consumer,United States,San Francisco,California,South,TEC-AC-3296,Technology,Accessories,Accessories Product 55,21945.22,11,0.0,7866.74
CA-2021-997546,2021-01-10,2021-01-12,Standard Class,CUST-1828,Home Office,United States,Dallas,Ohio,East,OFF-EN-2528,Office Supplies,Envelopes,Envelopes Product 97,1295.28,14,0.5,-188.46
CA-2021-272634,2021-04-29,2021-04-30,Same Day,CUST-1035,Corporate,United States,Philadelphia,Ohio,South,OFF-SU-5673,Office Supplies,Supplies,Supplies Product 55,373.44,8,0.0,59.91
CA-2023-707314,2023-11-27,2023-12-02,Standard Class,CUST-6138,Consumer,United States,New York City,Pennsylvania,South,TEC-PH-9238,Technology,Phones,Phones Product 68,1952.1,3,0.0,365.2
CA-2020-346629,2020-11-18,2020-11-18,Same Day,CUST-2964,Home Office,United States,San Francisco,Pennsylvania,East,TEC-AC-2343,Technology,Accessories,Accessories Product 54,5366.68,14,0.4,876.68
CA-2023-378517,2023-09-08,2023-09-12,Same Day,CUST-3144,Home Office,United States,Philadelphia,Texas,Central,TEC-MA-2188,Technology,Machines,Machines Product 2,3115.58,5,0.1,1026.33
CA-2022-465962,2022-07-27,2022-07-31,Standard Class,CUST-5002,Corporate,United States,Philadelphia,California,South,TEC-AC-9900,Technology,Accessories,Accessories Product 91,2986.45,2,0.1,704.64
CA-2021-208618,2021-09-11,2021-09-15,Second Class,CUST-5333,Consumer,United States,Los Angeles,Illinois,West,TEC-AC-5462,Technology,Accessories,Accessories Product 37,16299.36,11,0.4,-550.06
CA-2023-612262,2023-05-23,2023-05-24,First Class,CUST-1832,Consumer,United States,Chicago,Ohio,Central,TEC-MA-1722,Technology,Machines,Machines Product 1,5862.47,4,0.3,1936.0
CA-2021-688153,2021-11-14,2021-11-20,Standard Class,CUST-2832,Consumer,United States,Seattle,Pennsylvania,East,FUR-LA-7049,Furniture,Labels,Labels Product 75,2699.47,3,0.2,-132.7
CA-2023-141832,2023-02-05,2023-02-06,First Class,CUST-4441,Home Office,United States,San Francisco,Illinois,East,OFF-BI-6794,Office Supplies,Binders,Binders Product 100,32.55,1,0.5,7.14
CA-2023-285652,2023-02-20,2023-02-26,Same Day,CUST-1406,Consumer,United States,Houston,Ohio,South,OFF-BI-5065,Office Supplies,Binders,Binders Product 35,347.2,4,0.5,97.55
CA-2020-309267,2020-11-22,2020-11-28,Same Day,CUST-6728,Corporate,United States,San Francisco,California,East,TEC-AC-4164,Technology,Accessories,Accessories Product 52,16564.46,7,0.1,6505.0
CA-2021-662262,2021-11-03,2021-11-05,First Class,CUST-1452,Consumer,United States,Philadelphia,California,Central,FUR-LA-1626,Furniture,Labels,Labels Product 14,2940.45,6,0.5,-1118.12
CA-2023-704596,2023-05-06,2023-05-09,Second Class,CUST-5173,Consumer,United States,Chicago,New York,West,OFF-PA-6967,Office Supplies,Paper,Paper Product 56,689.98,7,0.2,38.43
CA-2020-631756,2020-05-23,2020-05-28,First Class,CUST-7691,Corporate,United States,Chicago,Illinois,Central,OFF-PA-3085,Office Supplies,Paper,Paper Product 25,1592.87,11,0.15,300.59
CA-2022-100425,2022-05-11,2022-05-16,First Class,CUST-5700,Consumer,United States,Chicago,Ohio,Central,OFF-BI-8618,Office Supplies,Binders,Binders Product 57,579.9,10,0.5,-101.56
CA-2022-277934,2022-06-24,2022-06-29,Standard Class,CUST-5649,Home Office,United States,Columbus,Washington,East,FUR-FU-4848,Furniture,Furnishings,Furnishings Product 87,5764.42,8,0.4,422.07
CA-2021-991014,2021-09-27,2021-09-28,Standard Class,CUST-8461,Corporate,United States,Columbus,California,South,FUR-CH-9099,Furniture,Chairs,Chairs Product 52,81.91,1,0.3,9.78
CA-2021-545798,2021-05-14,2021-05-15,Second Class,CUST-3881,Home Office,United States,Dallas,Texas,East,TEC-AC-5082,Technology,Accessories,Accessories Product 16,16869.32,13,0.5,6888.96
CA-2022-629298,2022-07-23,2022-07-24,Same Day,CUST-9976,Corporate,United States,Seattle,Illinois,South,OFF-PA-8373,Office Supplies,Paper,Paper Product 34,1394.87,13,0.4,11.77
CA-2021-387936,2021-05-21,2021-05-27,Same Day,CUST-2269,Home Office,United States,Philadelphia,California,Central,TEC-MA-6502,Technology,Machines,Machines Product 41,27556.54,13,0.1,6241.22
CA-2023-167348,2023-01-11,2023-01-11,Same Day,CUST-7678,Corporate,United States,Dallas,Texas,South,FUR-CH-2020,Furniture,Chairs,Chairs Product 27,2179.44,4,0.1,-312.09
CA-2022-106182,2022-05-10,2022-05-13,First Class,CUST-5892,Corporate,United States,Chicago,Pennsylvania,West,TEC-AC-8999,Technology,Accessories,Accessories Product 29,29723.68,14,0.2,6326.54
CA-2021-859359,2021-07-12,2021-07-15,Second Class,CUST-8657,Consumer,United States,Columbus,Pennsylvania,East,OFF-AP-7455,Office Supplies,Appliances,Appliances Product 76,395.08,7,0.2,55.14
CA-2023-152727,2023-03-01,2023-03-06,First Class,CUST-7211,Corporate,United States,San Francisco,Texas,Central,FUR-BO-6529,Furniture,Bookcases,Bookcases Product 98,6647.75,11,0.1,1157.74
CA-2022-154615,2022-02-15,2022-02-17,First Class,CUST-4673,Home Office,United States,Los Angeles,Ohio,East,OFF-FA-1508,Office Supplies,Fasteners,Fasteners Product 32,205.51,14,0.3,-59.37
CA-2021-691364,2021-02-12,2021-02-18,Second Class,CUST-8619,Home Office,United States,Philadelphia,Ohio,Central,FUR-FU-3749,Furniture,Furnishings,Furnishings Product 78,1187.67,3,0.0,106.21
CA-2023-706794,2023-05-28,2023-06-02,Standard Class,CUST-6111,Home Office,United States,Chicago,Texas,West,TEC-AC-2245,Technology,Accessories,Accessories Product 76,32187.61,13,0.0,15639.58
CA-2023-729577,2023-11-15,2023-11-21,Standard Class,CUST-1672,Corporate,United States,Dallas,Texas,Central,TEC-CO-2129,Technology,Copiers,Copiers Product 65,2546.23,2,0.4,-82.19
CA-2023-766459,2023-08-19,2023-08-21,Same Day,CUST-3506,Corporate,United States,Seattle,Illinois,Central,FUR-TA-9817,Furniture,Tables,Tables Product 100,9053.4,14,0.15,-576.12
CA-2022-392477,2022-09-17,2022-09-20,Same Day,CUST-4995,Corporate,United States,Columbus,Pennsylvania,South,OFF-FA-6511,Office Supplies,Fasteners,Fasteners Product 4,1026.48,6,0.0,341.09
CA-2022-393243,2022-10-09,2022-10-15,First Class,CUST-1166,Home Office,United States,San Francisco,New York,West,OFF-BI-7658,Office Supplies,Binders,Binders Product 63,315.25,8,0.15,71.07
CA-2023-197573,2023-02-11,2023-02-17,First Class,CUST-4630,Corporate,United States,San Francisco,Washington,Central,FUR-TA-8753,Furniture,Tables,Tables Product 71,11903.87,11,0.0,943.62
CA-2022-341736,2022-12-23,2022-12-25,Standard Class,CUST-4155,Corporate,United States,Los Angeles,Illinois,West,OFF-PA-4138,Office Supplies,Paper,Paper Product 28,724.51,6,0.15,-16.31
CA-2022-288158,2022-09-18,2022-09-20,First Class,CUST-1231,Home Office,United States,Dallas,California,Central,TEC-MA-1745,Technology,Machines,Machines Product 7,4274.85,2,0.15,457.65
CA-2023-112861,2023-02-07,2023-02-09,First Class,CUST-8690,Corporate,United States,San Diego,Washington,West,TEC-CO-1841,Technology,Copiers,Copiers Product 33,14401.97,11,0.5,1335.11
CA-2022-259097,2022-09-05,2022-09-05,Second Class,CUST-5978,Consumer,United States,San Francisco,New York,South,FUR-TA-4697,Furniture,Tables,Tables Product 100,1259.36,8,0.0,191.14
CA-2022-696251,2022-12-06,2022-12-09,Standard Class,CUST-2625,Consumer,United States,San Francisco,Washington,East,OFF-SU-3573,Office Supplies,Supplies,Supplies Product 31,734.1,5,0.15,231.9
CA-2020-405407,2020-12-21,2020-12-25,Standard Class,CUST-4792,Corporate,United States,Philadelphia,Illinois,South,FUR-CH-2166,Furniture,Chairs,Chairs Product 88,513.88,1,0.2,10.11
CA-2021-378535,2021-04-23,2021-04-25,Second Class,CUST-2169,Consumer,United States,Seattle,Ohio,Central,TEC-CO-5728,Technology,Copiers,Copiers Product 57,2726.95,7,0.1,302.77
CA-2020-617781,2020-09-11,2020-09-14,Same Day,CUST-2317,Home Office,United States,New York City,Texas,Central,TEC-MA-5102,Technology,Machines,Machines Product 4,10645.07,12,0.3,-16.75
CA-2020-900177,2020-07-06,2020-07-07,Second Class,CUST-8708,Home Office,United States,San Diego,Washington,West,TEC-AC-8141,Technology,Accessories,Accessories Product 82,26645.06,13,0.0,5536.96
CA-2022-268637,2022-10-04,2022-10-04,First Class,CUST-7744,Home Office,United States,San Diego,Washington,South,OFF-PA-1601,Office Supplies,Paper,Paper Product 59,245.0,7,0.5,8.85
CA-2020-964998,2020-06-29,2020-07-01,Standard Class,CUST-9889,Corporate,United States,Chicago,New York,West,OFF-PA-9494,Office Supplies,Paper,Paper Product 47,271.87,2,0.3,-18.77
CA-2023-402020,2023-06-29,2023-07-05,Same Day,CUST-8941,Consumer,United States,New York City,Illinois,West,OFF-SU-3594,Office Supplies,Supplies,Supplies Product 40,176.2,13,0.1,3.29
CA-2023-583863,2023-02-02,2023-02-02,Standard Class,CUST-3522,Corporate,United States,Philadelphia,Pennsylvania,Central,TEC-PH-7807,Technology,Phones,Phones Product 62,1503.26,2,0.0,656.27
CA-2022-243139,2022-08-25,2022-08-26,Standard Class,CUST-5526,Corporate,United States,Houston,Ohio,Central,OFF-BI-1042,Office Supplies,Binders,Binders Product 37,177.11,7,0.4,-0.07
CA-2021-448588,2021-09-03,2021-09-09,Same Day,CUST-8460,Corporate,United States,San Francisco,Illinois,West,TEC-PH-7274,Technology,Phones,Phones Product 30,6318.07,14,0.15,1396.9
CA-2022-930884,2022-04-21,2022-04-21,Second Class,CUST-9115,Consumer,United States,Seattle,Pennsylvania,Central,OFF-SU-2644,Office Supplies,Supplies,Supplies Product 57,1318.46,12,0.4,-192.29
CA-2020-178463,2020-07-23,2020-07-27,Same Day,CUST-5342,Corporate,United States,Columbus,Illinois,South,OFF-AP-2315,Office Supplies,Appliances,Appliances Product 43,357.59,12,0.1,102.66
CA-2023-667296,2023-10-13,2023-10-19,Standard Class,CUST-2121,Consumer,United States,Philadelphia,California,East,TEC-PH-8110,Technology,Phones,Phones Product 13,9205.06,6,0.2,3394.08
CA-2023-440131,2023-07-21,2023-07-26,Standard Class,CUST-5806,Corporate,United States,Houston,Texas,West,FUR-TA-5000,Furniture,Tables,Tables Product 68,3168.9,3,0.0,828.25
CA-2022-749813,2022-04-23,2022-04-27,Second Class,CUST-9153,Home Office,United States,Seattle,California,South,TEC-CO-5161,Technology,Copiers,Copiers Product 59,1458.48,3,0.2,335.08
CA-2021-462351,2021-06-06,2021-06-11,First Class,CUST-7951,Home Office,United States,Philadelphia,Texas,Central,FUR-TA-4263,Furniture,Tables,Tables Product 50,4130.16,5,0.2,-1016.07
CA-2022-409571,2022-09-16,2022-09-16,Standard Class,CUST-7484,Corporate,United States,New York City,Pennsylvania,East,FUR-TA-9138,Furniture,Tables,Tables Product 37,3422.94,10,0.4,-1264.5
CA-2021-855948,2021-04-16,2021-04-20,Second Class,CUST-2591,Home Office,United States,New York City,Washington,South,OFF-EN-1546,Office Supplies,Envelopes,Envelopes Product 75,231.44,11,0.5,-69.32
CA-2022-238579,2022-01-17,2022-01-22,First Class,CUST-9697,Home Office,United States,Philadelphia,Ohio,West,FUR-BO-5210,Furniture,Bookcases,Bookcases Product 62,2356.83,5,0.1,-62.32
CA-2021-809176,2021-08-27,2021-09-01,Same Day,CUST-6992,Consumer,United States,,New York,Central,OFF-AR-9791,Office Supplies,Art,Art Product 16,1387.87,8,0.1,-51.97
CA-2022-213609,2022-07-20,2022-07-22,Second Class,CUST-8724,Consumer,United States,Columbus,Pennsylvania,Central,TEC-MA-4626,Technology,Machines,Machines Product 83,10242.25,10,0.15,2746.36
CA-2020-419149,2020-05-09,2020-05-14,Same Day,CUST-2902,Consumer,United States,San Francisco,Pennsylvania,West,OFF-FA-7367,Office Supplies,Fasteners,Fasteners Product 59,930.82,11,0.0,52.04
CA-2022-786735,2022-01-29,2022-02-03,Standard Class,CUST-9017,Home Office,United States,Chicago,Washington,East,TEC-PH-7070,Technology,Phones,Phones Product 28,18020.64,10,0.2,40.75
CA-2022-476096,2022-06-27,2022-06-30,Standard Class,CUST-7523,Corporate,United States,San Francisco,New York,South,FUR-LA-2501,Furniture,Labels,Labels Product 85,1766.82,2,0.4,-568.52
CA-2021-925206,2021-03-10,2021-03-15,Second Class,CUST-2124,Home Office,United States,San Francisco,Pennsylvania,West,TEC-AC-4817,Technology,Accessories,Accessories Product 43,2143.53,1,0.1,255.86
CA-2020-666456,2020-10-29,2020-11-04,First Class,CUST-3858,Consumer,United States,New York City,California,East,TEC-AC-6869,Technology,Accessories,Accessories Product 31,11652.21,5,0.1,878.77
CA-2023-219169,2023-04-20,2023-04-22,Standard Class,CUST-8802,Corporate,United States,Houston,Pennsylvania,East,FUR-CH-8405,Furniture,Chairs,Chairs Product 65,440.93,5,0.3,-8.39
CA-2021-602248,2021-03-29,2021-04-02,Same Day,CUST-7984,Home Office,United States,Los Angeles,Texas,South,FUR-FU-2204,Furniture,Furnishings,Furnishings Product 11,3570.8,5,0.0,1019.86
CA-2021-846746,2021-10-21,2021-10-25,First Class,CUST-7240,Home Office,United States,Dallas,Washington,South,FUR-BO-9282,Furniture,Bookcases,Bookcases Product 78,942.42,3,0.3,-76.43
CA-2022-855855,2022-05-31,2022-05-31,Second Class,CUST-8046,Corporate,United States,San Francisco,Texas,Central,TEC-AC-8430,Technology,Accessories,Accessories Product 52,19586.97,14,0.3,6745.82
CA-2022-820184,2022-05-01,2022-05-06,Same Day,CUST-2099,Consumer,United States,Los Angeles,New York,South,FUR-LA-2582,Furniture,Labels,Labels Product 96,3169.91,7,0.1,-310.1
CA-2022-802559,2022-02-02,2022-02-08,Standard Class,CUST-7730,Corporate,United States,Chicago,Ohio,East,FUR-FU-5712,Furniture,Furnishings,Furnishings Product 77,765.31,1,0.15,-2.58
CA-2021-988432,2021-10-01,2021-10-03,Standard Class,CUST-6736,Home Office,United States,Houston,New York,Central,FUR-FU-4705,Furniture,Furnishings,Furnishings Product 55,2903.61,9,0.1,234.53
CA-2023-130359,2023-02-22,2023-02-28,Second Class,CUST-5477,Home Office,United States,Philadelphia,Washington,Central,TEC-AC-1100,Technology,Accessories,Accessories Product 24,23751.89,10,0.15,8502.74
CA-2020-196214,2020-10-20,2020-10-24,Second Class,CUST-7163,Corporate,United States,San Diego,Washington,West,TEC-PH-7062,Technology,Phones,Phones Product 40,1022.88,2,0.0,361.35
CA-2021-806707,2021-10-26,2021-11-01,Standard Class,CUST-5458,Corporate,United States,Chicago,Texas,South,TEC-AC-7785,Technology,Accessories,Accessories Product 35,551.18,1,0.0,221.45
CA-2021-721946,2021-03-17,2021-03-23,Same Day,CUST-9633,Home Office,United States,Philadelphia,New York,West,TEC-AC-7475,Technology,Accessories,Accessories Product 77,4848.3,6,0.4,-215.76
CA-2020-444061,2020-04-22,2020-04-22,Standard Class,CUST-1126,Corporate,United States,Chicago,California,West,FUR-LA-7229,Furniture,Labels,Labels Product 69,3953.04,4,0.15,363.51
CA-2023-119651,2023-12-12,2023-12-13,Same Day,CUST-2275,Corporate,United States,Columbus,Texas,South,TEC-MA-7843,Technology,Machines,Machines Product 38,2002.42,2,0.2,592.76
CA-2020-823108,2020-08-23,2020-08-26,First Class,CUST-2443,Corporate,United States,Los Angeles,California,South,FUR-LA-7560,Furniture,Labels,Labels Product 68,1817.88,3,0.5,-373.57
CA-2020-763984,2020-06-10,2020-06-13,Standard Class,CUST-9693,Home Office,United States,San Francisco,Ohio,Central,OFF-PA-6752,Office Supplies,Paper,Paper Product 94,195.86,4,0.3,-39.94
CA-2023-260295,2023-08-14,2023-08-20,Standard Class,CUST-3902,Home Office,United States,San Diego,Texas,South,FUR-CH-6295,Furniture,Chairs,Chairs Product 81,367.28,2,0.3,-121.25
CA-2021-720148,2021-10-09,2021-10-10,Standard Class,CUST-6766,Home Office,United States,Los Angeles,Washington,South,OFF-AR-8404,Office Supplies,Art,Art Product 5,620.36,8,0.15,-4.65
CA-2020-722937,2020-04-26,2020-04-28,Same Day,CUST-8581,Home Office,United States,Dallas,Ohio,East,OFF-AR-8368,Office Supplies,Art,Art Product 74,1336.18,11,0.3,252.19
CA-2023-950360,2023-08-27,2023-08-28,First Class,CUST-2381,Home Office,United States,Seattle,New York,West,OFF-SU-8172,Office Supplies,Supplies,Supplies Product 57,309.78,9,0.0,7.67
CA-2022-912085,2022-12-09,2022-12-13,First Class,CUST-1857,Home Office,United States,Houston,New York,Central,TEC-CO-2548,Technology,Copiers,Copiers Product 72,5670.1,6,0.2,376.76
CA-2023-257677,2023-10-21,2023-10-24,First Class,CUST-2335,Home Office,United States,Seattle,Washington,Central,OFF-FA-7421,Office Supplies,Fasteners,Fasteners Product 17,1436.9,12,0.3,360.8
CA-2023-234001,2023-05-03,2023-05-08,Standard Class,CUST-7937,Home Office,United States,Houston,New York,Central,FUR-LA-6060,Furniture,Labels,Labels Product 24,2682.81,9,0.5,-178.87
CA-2021-985447,2021-03-14,2021-03-16,Standard Class,CUST-9317,Home Office,United States,Dallas,New York,Central,OFF-EN-3147,Office Supplies,Envelopes,Envelopes Product 77,680.0,4,0.15,-52.42
CA-2022-856215,2022-02-10,2022-02-11,Same Day,CUST-1715,Corporate,United States,Houston,Illinois,West,FUR-CH-8277,Furniture,Chairs,Chairs Product 79,13288.34,14,0.1,884.36
CA-2021-922471,2021-08-06,2021-08-12,Same Day,CUST-4178,Corporate,United States,Columbus,Texas,South,TEC-PH-5616,Technology,Phones,Phones Product 100,3297.26,4,0.5,-172.86
CA-2022-362147,2022-02-21,2022-02-25,Standard Class,CUST-8873,Corporate,United States,Dallas,New York,East,TEC-PH-5670,Technology,Phones,Phones Product 11,6666.25,3,0.1,2448.03
CA-2020-956375,2020-11-24,2020-11-26,Same Day,CUST-6727,Consumer,United States,Chicago,New York,South,OFF-BI-9224,Office Supplies,Binders,Binders Product 48,1137.91,14,0.1,364.85
CA-2021-849421,2021-04-27,2021-04-30,First Class,CUST-3392,Consumer,United States,New York City,Washington,South,FUR-LA-3273,Furniture,Labels,Labels Product 98,181.74,4,0.5,8.12
CA-2023-675462,2023-12-15,2023-12-18,Same Day,CUST-2821,Corporate,United States,San Francisco,Washington,East,OFF-AP-1782,Office Supplies,Appliances,Appliances Product 31,15.68,2,0.1,-0.07
CA-2022-662093,2022-05-09,2022-05-14,Standard Class,CUST-9443,Home Office,United States,San Francisco,Illinois,West,TEC-PH-5772,Technology,Phones,Phones Product 55,590.09,2,0.3,212.48
CA-2020-648913,2020-01-04,2020-01-08,First Class,CUST-2108,Home Office,United States,Dallas,Pennsylvania,East,OFF-EN-7397,Office Supplies,Envelopes,Envelopes Product 61,862.3,10,0.0,229.15
CA-2020-461551,2020-03-30,2020-04-04,Second Class,CUST-2698,Home Office,United States,Houston,California,East,OFF-PA-6772,Office Supplies,Paper,Paper Product 70,753.65,5,0.0,107.65
CA-2021-601776,2021-11-24,2021-11-30,Second Class,CUST-3209,Consumer,United States,San Diego,New York,Central,TEC-CO-4302,Technology,Copiers,Copiers Product 6,19819.88,14,0.4,1514.55
CA-2021-365618,2021-02-12,2021-02-12,Standard Class,CUST-4131,Corporate,United States,Houston,Ohio,East,OFF-FA-6438,Office Supplies,Fasteners,Fasteners Product 35,595.08,9,0.2,123.6
CA-2020-455505,2020-09-11,2020-09-17,Second Class,CUST-9129,Home Office,United States,San Diego,Washington,Central,OFF-ST-2353,Office Supplies,Storage,Storage Product 94,839.72,7,0.2,207.68
CA-2022-793024,2022-05-19,2022-05-19,First Class,CUST-6021,Corporate,United States,Columbus,Illinois,South,OFF-BI-3730,Office Supplies,Binders,Binders Product 89,476.44,9,0.15,-48.47
CA-2022-387892,2022-06-28,2022-06-30,Standard Class,CUST-2229,Home Office,United States,Chicago,Washington,West,OFF-AP-1510,Office Supplies,Appliances,Appliances Product 19,1676.74,12,0.2,-39.78
CA-2023-479742,2023-05-29,2023-06-03,Same Day,CUST-1530,Home Office,United States,Seattle,Illinois,South,OFF-AP-7077,Office Supplies,Appliances,Appliances Product 48,46.18,3,0.15,9.99
CA-2022-392227,2022-06-28,2022-07-04,Second Class,CUST-2858,Consumer,United States,Seattle,Texas,South,FUR-FU-2929,Furniture,Furnishings,Furnishings Product 34,1471.9,3,0.4,-443.5
CA-2021-309902,2021-06-17,2021-06-22,Standard Class,CUST-3223,Consumer,United States,San Diego,California,South,OFF-EN-2438,Office Supplies,Envelopes,Envelopes Product 88,485.52,10,0.2,125.38
CA-2021-265156,2021-10-16,2021-10-21,Second Class,CUST-6922,Home Office,United States,San Francisco,New York,West,OFF-AR-3275,Office Supplies,Art,Art Product 31,498.24,9,0.5,106.16
CA-2022-190403,2022-10-08,2022-10-08,Standard Class,CUST-6067,Corporate,United States,San Diego,Pennsylvania,South,OFF-PA-7708,Office Supplies,Paper,Paper Product 74,905.58,8,0.3,13.79
CA-2020-969325,2020-05-31,2020-06-01,Second Class,CUST-3114,Corporate,United States,Dallas,Ohio,East,OFF-AR-3034,Office Supplies,Art,Art Product 67,690.05,8,0.1,89.66
CA-2020-397846,2020-11-09,2020-11-11,Standard Class,CUST-5105,Consumer,United States,Dallas,Washington,West,FUR-CH-5961,Furniture,Chairs,Chairs Product 79,5902.55,6,0.3,-1853.51
CA-2022-754813,2022-12-28,2022-12-28,First Class,CUST-1674,Consumer,United States,Los Angeles,New York,Central,TEC-CO-4453,Technology,Copiers,Copiers Product 99,16983.96,10,0.4,-2217.03
CA-2023-416768,2023-03-17,2023-03-20,Same Day,CUST-5012,Home Office,United States,Chicago,Washington,South,TEC-AC-2195,Technology,Accessories,Accessories Product 89,12854.83,8,0.4,1676.08
CA-2020-427766,2020-05-02,2020-05-03,First Class,CUST-6658,Corporate,United States,Seattle,Ohio,Central,OFF-ST-9437,Office Supplies,Storage,Storage Product 72,688.1,8,0.1,35.23
CA-2020-153063,2020-08-05,2020-08-07,First Class,CUST-7293,Home Office,United States,Chicago,California,West,FUR-TA-6364,Furniture,Tables,Tables Product 74,875.66,2,0.0,-0.73
CA-2021-124302,2021-10-02,2021-10-03,Standard Class,CUST-7442,Home Office,United States,San Diego,California,West,FUR-TA-6781,Furniture,Tables,Tables Product 7,5233.54,9,0.2,599.44
CA-2020-240440,2020-04-13,2020-04-15,First Class,CUST-6992,Corporate,United States,,New York,South,OFF-SU-1838,Office Supplies,Supplies,Supplies Product 73,438.6,5,0.2,98.06
CA-2023-393308,2023-02-24,2023-02-25,Standard Class,CUST-3108,Consumer,United States,Chicago,Washington,Central,OFF-FA-6990,Office Supplies,Fasteners,Fasteners Product 97,112.48,2,0.3,-4.79
CA-2020-449218,2020-10-22,2020-10-23,Same Day,CUST-9508,Corporate,United States,Seattle,Pennsylvania,West,TEC-PH-6373,Technology,Phones,Phones Product 79,1170.4,9,0.4,-242.73
CA-2021-613641,2021-10-14,2021-10-15,First Class,CUST-8780,Consumer,United States,Houston,Washington,East,OFF-FA-7824,Office Supplies,Fasteners,Fasteners Product 75,494.13,10,0.3,85.64
CA-2021-913864,2021-09-22,2021-09-28,Second Class,CUST-1841,Home Office,United States,San Diego,California,South,TEC-AC-3421,Technology,Accessories,Accessories Product 88,7381.55,10,0.5,3496.32
CA-2021-533020,2021-05-11,2021-05-11,Second Class,CUST-7723,Home Office,United States,Columbus,Texas,East,TEC-AC-3262,Technology,Accessories,Accessories Product 67,557.71,4,0.1,83.95
CA-2021-659024,2021-02-28,2021-03-04,First Class,CUST-9950,Corporate,United States,Philadelphia,Pennsylvania,South,OFF-SU-4150,Office Supplies,Supplies,Supplies Product 32,565.06,9,0.2,157.28
CA-2021-839233,2021-07-25,2021-07-29,Same Day,CUST-6194,Corporate,United States,Houston,Pennsylvania,Central,OFF-EN-5715,Office Supplies,Envelopes,Envelopes Product 16,466.14,5,0.4,32.6
CA-2023-253591,2023-03-20,2023-03-25,First Class,CUST-1689,Corporate,United States,Los Angeles,Washington,South,TEC-PH-5201,Technology,Phones,Phones Product 96,8656.51,7,0.5,4013.91
CA-2022-214532,2022-09-08,2022-09-09,Second Class,CUST-4972,Consumer,United States,Dallas,California,West,FUR-FU-1860,Furniture,Furnishings,Furnishings Product 13,6312.96,5,0.1,620.55
CA-2022-265613,2022-04-26,2022-04-28,Same Day,CUST-8793,Corporate,United States,San Francisco,Ohio,Central,TEC-PH-6262,Technology,Phones,Phones Product 37,2905.64,2,0.3,-228.35
